#Inscrições

#NºAluno;NºUC;Ano Letivo;Nota

1800008;21093;2019/2020;12
1800008;21106;2019/2020;13
1800008;21046;2019/2020;11
1800008;21071;2019/2020;11
1800008;21076;2019/2020;12
1800008;21077;2019/2020;12
1800008;21179;2019/2020;13
1800008;21020;2019/2020;11
1800008;21062;2019/2020;11
1800008;21103;2019/2020;10
1800008;21110;2019/2020;11
1800010;21020;2019/2020;16
1800010;21062;2019/2020;9
1800010;21103;2019/2020;20
1800010;21110;2019/2020;15
1800010;21180;2019/2020;16
1800010;21181;2019/2020;14
1800010;21018;2019/2020;13
1800010;21097;2019/2020;15
1800010;21108;2019/2020;14
1800010;21182;2019/2020;16
1800010;21184;2019/2020;15
1800011;21020;2019/2020;16
1800011;21062;2019/2020;16
1800011;21103;2019/2020;20
1800011;21110;2019/2020;15
1800011;21180;2019/2020;16
1800011;21181;2019/2020;14
1800011;21018;2019/2020;13
1800011;21097;2019/2020;15
1800011;21108;2019/2020;14
1800011;21182;2019/2020;16
1800011;21184;2019/2020;15
1800012;21020;2019/2020;16
1800012;21062;2019/2020;16
1800012;21103;2019/2020;20
1800012;21110;2019/2020;15
1800012;21180;2019/2020;16
1800012;21181;2019/2020;14
1800012;21018;2019/2020;13
1800012;21097;2019/2020;15
1800012;21108;2019/2020;14
1800012;21182;2019/2020;16
1800012;21184;2019/2020;15
1800013;21020;2019/2020;16
1800013;21062;2019/2020;16
1800013;21103;2019/2020;20
1800013;21110;2019/2020;15
1800013;21180;2019/2020;16
1800013;21181;2019/2020;18
1800013;21018;2019/2020;13
1800013;21097;2019/2020;15
1800013;21108;2019/2020;14
1800013;21182;2019/2020;16
1800013;21184;2019/2020;15
1800014;21020;2019/2020;16
1800014;21062;2019/2020;16
1800014;21103;2019/2020;20
1800014;21110;2019/2020;15
1800014;21180;2019/2020;16
1800014;21181;2019/2020;14
1800014;21018;2019/2020;13
1800014;21097;2019/2020;5
1800014;21108;2019/2020;14
1800014;21182;2019/2020;16
1800014;21184;2019/2020;15
1800016;21020;2019/2020;16
1800016;21062;2019/2020;16
1800016;21103;2019/2020;20
1800016;21110;2019/2020;15
1800016;21180;2019/2020;16
1800016;21181;2019/2020;14
1800016;21018;2019/2020;13
1800016;21097;2019/2020;15
1800016;21108;2019/2020;14
1800016;21182;2019/2020;16
1800016;21184;2019/2020;15
1800010;21002;2017/2018;15
1800010;21010;2017/2018;13
1800010;21173;2017/2018;8
1800010;21174;2017/2018;14
1800010;21175;2017/2018;12
1800010;21176;2017/2018;13
1800010;21037;2017/2018;13
1800010;21082;2017/2018;12
1800010;21111;2017/2018;13
1800010;21177;2017/2018;13
1800010;21178;2017/2018;12
1800011;21002;2017/2018;15
1800011;21010;2017/2018;13
1800011;21173;2017/2018;11
1800011;21174;2017/2018;14
1800011;21175;2017/2018;12
1800011;21176;2017/2018;13
1800011;21037;2017/2018;13
1800011;21082;2017/2018;12
1800011;21111;2017/2018;13
1800011;21177;2017/2018;13
1800011;21178;2017/2018;12
1800012;21002;2017/2018;15
1800012;21010;2017/2018;13
1800012;21173;2017/2018;11
1800012;21174;2017/2018;14
1800012;21175;2017/2018;12
1800012;21176;2017/2018;13
1800012;21037;2017/2018;13
1800012;21082;2017/2018;12
1800012;21111;2017/2018;13
1800012;21177;2017/2018;13
1800012;21178;2017/2018;12
1800013;21002;2017/2018;15
1800013;21010;2017/2018;13
1800013;21173;2017/2018;11
1800013;21174;2017/2018;14
1800013;21175;2017/2018;12
1800013;21176;2017/2018;11
1800013;21037;2017/2018;13
1800013;21082;2017/2018;12
1800013;21111;2017/2018;13
1800013;21177;2017/2018;14
1800013;21178;2017/2018;12
1800014;21002;2017/2018;15
1800014;21010;2017/2018;13
1800014;21173;2017/2018;11
1800014;21174;2017/2018;14
1800014;21175;2017/2018;8
1800014;21176;2017/2018;13
1800014;21037;2017/2018;13
1800014;21082;2017/2018;12
1800014;21111;2017/2018;13
1800014;21177;2017/2018;13
1800014;21178;2017/2018;12
1800016;21002;2017/2018;8
1800016;21010;2017/2018;13
1800016;21173;2017/2018;11
1800016;21174;2017/2018;14
1800016;21175;2017/2018;12
1800016;21176;2017/2018;7
1800016;21037;2017/2018;13
1800016;21082;2017/2018;12
1800016;21111;2017/2018;13
1800016;21177;2017/2018;13
1800016;21178;2017/2018;12
